🕘️更新时间,#genre#
2025-08-17 18:37:45,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225812/index.m3u8$订阅源

📺央视频道,#genre#
CCTV-1,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225812/index.m3u8$订阅源
CCTV-1,http://qjrhc.jydjd.top:2911/udp/224.1.100.89:11111$订阅源
CCTV-2,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225923/index.m3u8$订阅源
CCTV-2,http://qjrhc.jydjd.top:2911/udp/224.1.100.93:11111$订阅源
CCTV-2,http://58.221.214.82:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://58.221.214.82:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://218.89.240.144:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://59.39.89.130:60901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://59.39.89.130:60901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://120.238.94.10:9901/tsfile/live/1020_1.m3u8$订阅源
CCTV-3,http://123.130.84.106:8154/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://qjrhc.jydjd.top:2911/udp/224.1.100.63:11111$订阅源
CCTV-3,http://58.221.214.82:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://58.221.214.82:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://1b6467f415.iok.la:9931/tsfile/live/1022_1.m3u8$订阅源
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$订阅源
CCTV-4,http://120.238.94.10:9901/tsfile/live/1021_1.m3u8$订阅源
CCTV-4,http://36.32.174.67:60080/newlive/live/hls/4/live.m3u8$订阅源
CCTV-4,http://qjrhc.jydjd.top:2911/udp/224.1.100.103:11111$订阅源
CCTV-4,http://58.221.214.82:9901/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://124.116.183.146:9901/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://1b6467f415.iok.la:9931/tsfile/live/1023_1.m3u8$订阅源
CCTV-4,http://58.19.43.46:9901/tsfile/live/1023_1.m3u8$订阅源
CCTV-5,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100$订阅源
CCTV-5,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?BR=td$订阅源
CCTV-5,http://120.238.94.10:9901/tsfile/live/1022_1.m3u8$订阅源
CCTV-5,http://111.43.126.240:9003/hls/17/index.m3u8$订阅源
CCTV-5,http://qjrhc.jydjd.top:2911/udp/224.1.100.81:11111$订阅源
CCTV-5,http://58.221.214.82:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://124.116.183.146:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://1b6467f415.iok.la:9931/tsfile/live/1025_1.m3u8$订阅源
CCTV-5+,http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&amp;amp;playlive=1&amp;amp;authid=0$订阅源
CCTV-5+,http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
CCTV-5+,http://120.238.94.10:9901/tsfile/live/1023_1.m3u8$订阅源
CCTV-5+,http://123.130.84.106:8154/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://111.43.126.240:9003/hls/18/index.m3u8$订阅源
CCTV-5+,http://111.43.126.240:9003/hls/81/index.m3u8$订阅源
CCTV-5+,http://qjrhc.jydjd.top:2911/udp/224.1.100.26:11111$订阅源
CCTV-6,http://zzssw01.55555.io:9901/tsfile/live/0006_1.m3u8$订阅源
CCTV-6,http://59.39.89.130:60901/tsfile/live/0006_1.m3u8$订阅源
CCTV-6,http://218.3.138.25:1111/tsfile/live/1005_1.m3u8$订阅源
CCTV-6,http://218.3.138.25:1111/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-6,http://qjrhc.jydjd.top:2911/udp/224.1.100.83:11111$订阅源
CCTV-6,http://58.221.214.82:9901/tsfile/live/0006_1.m3u8$订阅源
CCTV-6,http://58.221.214.82:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-6,http://124.116.183.146:9901/tsfile/live/0006_1.m3u8$订阅源
CCTV-7,http://live.junhao.mil.cn/rmt9502/3e6e7c5477314ec38f5e58e2a5c70024.m3u8?txSecret=57978fafb9c19880afa5c8687e8241d8&txTime=7A42BAFF$订阅源
CCTV-7,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv7_1_td.m3u8$订阅源
CCTV-7,http://120.238.94.10:9901/tsfile/live/1025_1.m3u8$订阅源
CCTV-7,http://123.130.84.106:8154/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://qjrhc.jydjd.top:2911/udp/224.1.100.28:11111$订阅源
CCTV-7,http://124.116.183.146:9901/tsfile/live/0007_1.m3u8$订阅源
CCTV-7,http://1b6467f415.iok.la:9931/tsfile/live/1027_1.m3u8$订阅源
CCTV-7,http://58.19.43.46:9901/tsfile/live/1026_1.m3u8$订阅源
CCTV-8,http://zzssw01.55555.io:9901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://183.215.134.239:19901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://120.238.94.10:9901/tsfile/live/1026_1.m3u8$订阅源
CCTV-8,http://218.3.138.25:1111/tsfile/live/1007_1.m3u8$订阅源
CCTV-8,http://218.3.138.25:1111/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-8,http://123.130.84.106:8154/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://123.130.84.106:8154/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-8,http://111.43.126.240:9003/hls/21/index.m3u8$订阅源
CCTV-9,http://zzssw01.55555.io:9901/tsfile/live/0009_1.m3u8$订阅源
